id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
643-094105,305.92853769999999,38.475976199999998,305.92897498675239,38.476111652571639,1.325,---,---,12.615538624879227,0.00064347682741393395,---,---,12.53600025177002,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094203,306.02728089999999,38.492551200000001,306.02726354475112,38.492449575645416,0.36899999999999999,---,---,9.7893144909706677,0.00020941830191800403,---,---,9.8920001983642578,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094143,305.96252529999998,38.492860899999997,305.96235858658372,38.492675745777767,0.81499999999999995,---,---,9.0024943356976088,0.00017430128626203716,---,---,9.369999885559082,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094163,305.97948680000002,38.485575900000001,305.97991266200103,38.485779439474392,1.4059999999999999,---,---,12.2907380057413,0.00050915024579429268,---,---,12.270999908447266,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.97931197354603,38.485719309691135,nan,---,---,12.302531654583991,0.00052669516624280651,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094180,305.9956353,38.560020000000002,305.99542295153606,38.560077698657764,0.63300000000000001,---,---,10.903020485160303,0.00023068609024600725,---,---,10.866999626159668,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094116,305.94150710000002,38.500873900000002,305.94142880062094,38.500673185160515,0.755,---,---,10.130261521236235,0.00081745465402604188,---,---,10.149999618530273,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094279,306.13654450000001,38.510809799999997,306.13651592912356,38.510773312409029,0.154,---,---,10.830332279517155,0.0002306183624336475,---,---,10.772000312805176,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094185,305.99860740000003,38.502648100000002,305.99895918225934,38.502855031492302,1.24,---,---,12.375006757377218,0.00019997281605202004,---,---,12.293999671936035,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094015,305.84486529999998,38.551489799999999,305.84474256623247,38.551500629991324,0.34799999999999998,---,---,12.007288891270925,0.00049246482397003854,---,---,11.96399974822998,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094197,306.01940889999997,38.5381334,306.01913325599071,38.538112438257826,0.78000000000000003,---,---,9.7216277944978202,0.00025533808499411876,---,---,9.8629999160766602,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094187,306.00541120000003,38.5137687,306.00549541019353,38.513723712396128,0.28699999999999998,---,---,9.6726094502245203,0.00020542571041737631,---,---,9.7899999618530273,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.87087617223978,38.51327446976638,nan,---,---,15.499256884757557,0.00020725937982778836,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094184,305.99809269999997,38.530006200000003,305.99792931808116,38.529920038308056,0.55500000000000005,---,---,10.933427095703847,0.0037366084607184762,---,---,10.986000061035156,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
642-092649,305.8279359,38.388335599999998,305.82815738496691,38.388163618882935,0.88,---,---,11.172195268064728,0.00068631291542428706,---,---,11.159999847412109,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094177,305.9947009,38.432565599999997,305.99469934363384,38.432454341944478,0.40100000000000002,---,---,12.858124476642038,0.00037260430482236604,---,---,13.013999938964844,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
